delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0656004389782303,525.0,0.6016395187397731,-283747439.5056911,283747439.5056911,521955.559915122,1.7064312386088336e-07,fd
1.0656004389782303,530.0,0.6023193599844896,-298430320.97208196,298430320.97208196,533202.54775422,1.6596265458771003e-07,fd
1.0656004389782303,535.0,0.6030000747834562,-313552523.5000169,313552523.5000169,544492.0354141919,1.614978625066024e-07,fd
1.0656004389782303,540.0,0.6036816686000505,-329116908.4324934,329116908.4324934,555822.1357601514,1.5723544626701255e-07,fd
1.0656004389782303,545.0,0.6043641458868703,-345126204.79013145,345126204.79013145,567191.0093904679,1.5316312059740955e-07,fd
1.0656004389782303,550.0,0.6050475117064523,-361583018.8675194,361583018.8675194,578596.8730915156,1.4926952157358733e-07,fd
1.0656004389782303,555.0,0.6057317697827155,-378489829.29691315,378489829.29691315,590037.9869113846,1.4554412818048934e-07,fd
1.0656004389782303,560.0,0.6064169241397372,-395848996.8468115,395848996.8468115,601512.6628362229,1.4197718557902265e-07,fd
1.0656004389782303,565.0,0.6071029781013924,-413662763.0880242,413662763.0880242,613019.2574890258,1.385596406258698e-07,fd
1.0656004389782303,570.0,0.6077899344907828,-431933253.9867599,431933253.9867599,624556.1720826395,1.3528308177278112e-07,fd
1.0656004389782303,575.0,0.6084777965964902,-450662487.4589599,450662487.4589599,636121.8573824125,1.3213968376568126e-07,fd
1.0656004389782303,580.0,0.6091665663973651,-469852367.5458711,469852367.5458711,647714.8012699143,1.2912216174648607e-07,fd
1.0656004389782303,585.0,0.6098562462815595,-489504695.53930986,489504695.53930986,659333.5385233498,1.2622372464197494e-07,fd
1.0656004389782303,590.0,0.6105468380160693,-509621167.5388346,509621167.5388346,670976.6430903045,1.2343803685127727e-07,fd
1.0656004389782303,595.0,0.6112383432258481,-530203379.50829965,530203379.50829965,682642.730056005,1.207591813966757e-07,fd
1.0656004389782303,600.0,0.6119307628504892,-551252826.797092,551252826.797092,694330.4509318842,1.1818162778342861e-07,fd
